"List Sharing","Compartir Listas"
"My Wish List","Mi Plan de Compra"
"Wish List","Plan de Compras"
"You have no Wish Lists.","No tienes Lista de Compras Programadas."
"You have no Requisition Lists.","No tienes Lista de Compras Recurrentes."
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"My Wish Lists","Mis Planes de Compra"
"Page not found.","Página no encontrada."
"Most Wanted Items in Lists","Artículos más buscados en la Lista"
"Most Purchased Items from Lists","Artículos más comprados de la Lista"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","We can't configure the product right now."
"Can't load wishlist.","No se puede cargar la Lista de Compras."
"We can't find %1 items.","We can't find %1 items."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"%s items cannot be copied: %s.","%s items cannot be copied: %s."
"We can't copy %s items.","We can't copy %s items."
"%s got copied to <a href=""%s"">%s</a> successfully.","%s fue copiado to <a href=""%s"">%s</a> satisfactoriamente."
"We can't specify a wishlist.","We can't specify a wishlist."
"The cart item doesn't exist.","The cart item doesn't exist."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"%s items cannot be moved: %s.","%s items cannot be moved: %s."
"We can't move %s items.","We can't move %s items."
"%s got moved to <a href=""%s"">%s</a> successfully.","%s got moved to <a href=""%s"">%s</a> successfully."
"We can't find item.","No podemos encontrar el artículo."
"Something is wrong.","Algo salió mal."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Can't load item.","Can't load item."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"This product(s) is out of stock.","Este(os) producto(s) está(n) agotado(s)."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"You will no longer receive wishlist price alerts.","You will no longer receive wishlist price alerts."
"Unable to update the wishlist price alert subscription.","Unable to update the wishlist price alert subscription."
"Something wrong","Algo mal"
"We can't delete the default Wish List.","No podemos eliminar la Lista Predeterminada."
"We can't delete the Wish List right now: %1.","We can't delete the Wish List right now: %1."
"%1 has been deleted.","%1 has been deleted."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"Can't save description %1","Can't save description %1"
"Wish list has been updated.","Se ha actualizado la lista."
"Can't update wish list","Can't update wish list"
"A list with the same name already exist.","Ya existe una lista con el mismo nombre."
"We can't create the Wish List right now.","No podemos crear la Lista en este momento."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't save the cron expression.","We can't save the cron expression."
"Maximum Search query length is %1","Maximum Search query length is %1"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Unable to save wishlist with ID %1. Error: %2","Unable to save wishlist with ID %1. Error: %2"
"Unable to save new wishlist. Error: %1","Unable to save new wishlist. Error: %1"
"Wishlist with specified ID ""%1"" not found.","Wishlist with specified ID ""%1"" not found."
"Wishlist with specified Customer ID ""%1"" not found.","Wishlist with specified Customer ID ""%1"" not found."
"Unable to remove wishlist with ID %1. Error: %2","Unable to remove wishlist with ID %1. Error: %2"
"Unable to remove wishlist. Error: %1","Unable to remove wishlist. Error: %1"
"Default Stock","Default Stock"
"%1 (Default)","%1 (Default)"
"Wish Lists","Listas de Compras Programadas"
"Requisition Lists","Listas de Compras Recurrentes"
Twitter,Twitter
Facebook,Facebook
Wish,"Compra Programada"
Requisition,"Compra Recurrente"
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Product Name","Nombre del Producto"
SKU,SKU
"Orders Placed from Lists","Orders Placed from Lists"
"Qty Purchased from Lists","Qty Purchased from Lists"
"View more","Ver más"
Open,Abrir
"%1 has been added to <a href=""%2"">%3</a>.","%1 has been added to <a href=""%2"">%3</a>."
"<a href=""%1"">%2</a> has been created.","La lista <a href=""%1"">%2</a> ha siso creada."
"%1 has been moved to <a href=""%2"">%3</a>.","%1 has been moved to <a href=""%2"">%3</a>."
"Delete Wish List","Eliminar Lista"
Qty,Cantidad
"Add to Cart","Agregar a Carrito"
Availability,Disponibilidad
"In stock","Disponible"
"Out of stock","No Disponible"
"Copy Item","Copiar Producto"
Copy,Copiar
Edit,Editar
"Move Item","Mover Producto"
Move,Mover
"Delete Item","Eliminar Producto"
Delete,Eliminar
"This Wish List has no Items","Esta Lista de Compra no tiene productos"
"Go to wishlist page","Ir a Página de Lista de Compras"
"The folder is empty","La lista está vacía"
"Product Image","Imagen del Producto"
"Open list of actions","Abrir lista de acciones"
"View wishlist","Ver Lista de Compras"
View,Ver
"Delete wishlist","Eliminar Lista de Compras"
"%1 items","%1 items"
"Create New List","Crear Nueva Lista"
"Name List","Nombre de la Lista"
Add,Agregar
"* Required Fields","* Campo Requerido"
"Sharing Information","Compartiendo Información"
"Email addresses, separated by commas","Direcciones de Correo Electrónico, separadas por comas"
Message,Mensaje
"Check here to link an RSS feed to your List.","Check here to link an RSS feed to your List."
"Share List","Compartir Lista"
Back,Regresar
"You have no items in your wish list.","You have no items in your wish list."
"No manage stock","No manage stock"
"Hello, %customer_name","Hello, %customer_name"
"Some products in your wishlists have changed their prices recently. Please find the new prices below:","Some products in your wishlists have changed their prices recently. Please find the new prices below:"
"Do not want to receive our newsletter anymore?","Do not want to receive our newsletter anymore?"
"You can unsubscribe","You can unsubscribe"
here,here
"Take a look at %customer_name's List","Take a look at %customer_name's List"
"%customer_name wants to share this List from %store_name with you:","%customer_name wants to share this List from %store_name with you:"
"View all List items","View all List items"
"Recently Updated Lists","Listas Actualizadas Recientemente"
Save,Guardar
"Update List","Actualizar Lista"
"Delete List","Eliminar Lista"
"Add New Products","Agregar Nuevos Productos"
"Your search returned no products.","Your search returned no products."
"Max value is","Max value is"
"Min value is","Min value is"
"Are you sure? This action can't be undone.","Are you sure? This action can't be undone."
"Choose the list for selected product","Escoge una lista para el producto seleccionado"
"Add to List","Agregar a Lista"
"Unselect all","Deseleccionar todos"
"Select all","Seleccionar todos"
"Please choose a List","Por favor selecciona una Lista"
"Amasty Multiple Wishlist","Amasty Multiples Lista de Compras"
"Multiple Wishlist","Multiples Lista de Compras"
Information,Información
General,General
Enabled,Activado
"Allow List Sharing via","Permitir Compartir List vía"
"Customer Notifications","Notificación de Clientes"
"Send Price Alerts","Enviar Alerta de Precio"
"If enabled, customers will get notified about changes of product prices in their Wish and Requisition lists.","If enabled, customers will get notified about changes of product prices in their Wish and Requisition lists."
Frequency,Frecuencia
"Start Time","Hora de Inicio"
"Email Sender","Remitente de Correo Electrónico"
"Email Template","Plantilla de Correo Electrónico"
"Select the appropriate template for the email notifications.","Select the appropriate template for the email notifications."
"List Name","Nombre de la Lista"
"List Type","Tipo de Lista"
Comment,Comentario
ID,ID
Thumbnail,Thumbnail
"Total number of Lists the item is present in","Total number of Lists the item is present in"
"Number of Wish Lists","Número de Listas de Compras"
"Number of Requisition Lists","Número de Listas de Caja Chica"
"Last time added on","Last time added on"
"Stock Qty","Cantidad en Inventario"
"Product Details and Comment","Detalle del Producto y Comentarios"
"Search by SKU or Product Name","Buscar por Código o Nombre del Producto"
"Copy Selected","Copiar Selección"
"Move Selected","Mover Selección"
"Select All","Seleccinar Todo"
"Add All to Cart","Agregar Todo al Carrito"