"By Default, it shows 10 search results. Learn more.","By Default, it shows 10 search results. Learn more."
"Display product thumbnail. Learn more.","Mostrar thumbnail del producto. Aprende más."
"Show price in search result. Learn more.","Mostrar precio en el resultado de la búsqueda. Aprende más."
"After Product Save","Después de Guardar el Producto"
"Create New Query","Crear Nuevo Consulta"
"Cron job","Cron job"
"Delete","Eliminar"
"Delete ","Eliminar "
"Delete Query","Eliminar Consulta"
"Display Image","Mostrar Imagen"
"Display Price","Mostrar Precio"
"Edit","Editar"
"Edit Query ","Editar Consulta "
"General","General"
"Limit number of characters in description section","Limit number of characters in description section"
"Mageplaza","Mageplaza"
"Maximum Number of Search Results","Maximum Number of Search Results"
"Name","Nombre"
"New Query","Nueva Consulta"
"Queries","Consultas"
"Query","Consulta"
"Query Information","Información de Consulta"
"Reindex Search database","Reindex Search database"
"Results","Resultados"
"Save Query","Guardar Consulta"
"Save and Continue Edit","Save and Continue Edit"
"Search","Buscar"
"Search Plus","Search Plus"
"This Query no longer exists.","This Query no longer exists."
"Search in","Buscar en"