"A total of %1 record(s) have been deleted.","Un total de %1 registris han sido eliminados."
"An error occurred while deleting record(s).","Se produjo un error al eliminar los registros."
"Create New Dailydeal","Crear Oferta Diaria"
"Dailydeal %1","Oferta Diaria %1"
"Dailydeal Information","Información de Oferta Diaria"
"Dailydeal to delete was not found.","No se encontró la Oferta Diaria para eliminar."
"Dailydeal","Oferta Diaria"
"Dailydeals","Ofertas Diarias"
"Date From","Fecha Desde"
"Date To","Fecha Hasta"
"Delete Dailydeal","Borrar Oferta Diaria"
"Discount Amount","Monto de Descuento"
"Discount Type","Tipo de Descuento"
"Edit Dailydeal '%1'","Editar Oferta Diaria '%1'"
"Enable Deal","Habilitar Oferta Diaria"
"Fixed","Fijo"
"ID","ID"
"New Dailydeal","Nueva Oferta Diaria"
"Percentage","Pocentaje"
"Please Select Dailydeals.","POr favor Selecciona Oferta Diaria."
"Product Price","Precio del Prodcuto"
"Product Sku","Código del Producto"
"Save Dailydeal","Guardar Oferta Diaria"
"Save and Continue Edit","Guardar y Continuar Editando"
"Something went wrong while saving the Dailydeal.","Algo salió mal al guardar la Oferta Diaria."
"The Dailydeal has been deleted.","La Oferta Diaria ha sido eliminada."
"The Dailydeal has been saved.","La Oferta Diaria ha sido guardada."
"This Dailydeal no longer exists.","Esta Oferta Diaria ya no existe."
"Ends in","Termina en"
"Day","Día"
"Days","Días"